player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
Jamal Sampson,2,0,1,0.0,0,1,0.0,0,0,0.0,2,2,100.0,0,0,1,0.0,1,0.0
Jamario Moon,32,5,22,22.73,4,10,40.0,1,12,8.33,11,14,78.57,4,1,4,0.0,4,0.0
Jameer Nelson,181,114,321,35.51,85,220,38.64,29,101,28.71,92,119,77.31,27,22,23,0.0,14,3.0
James Anderson,17,9,18,50.0,2,5,40.0,7,13,53.85,10,13,76.92,9,1,4,0.0,4,1.0
James Ennis,4,0,2,0.0,0,1,0.0,0,1,0.0,1,1,100.0,0,1,0,0.0,2,0.0
James Ennis III,12,1,5,20.0,1,1,100.0,0,4,0.0,5,7,71.43,1,0,1,0.0,2,0.0
James Harden,185,115,313,36.74,79,180,43.89,36,133,27.07,228,294,77.55,21,32,24,0.0,9,2.0
James Johnson,74,24,68,35.29,15,40,37.5,9,28,32.14,21,30,70.0,17,4,14,0.0,9,0.0
James Jones,47,15,47,31.91,6,20,30.0,9,27,33.33,39,45,86.67,13,1,7,0.0,10,0.0
James Posey,99,28,71,39.44,9,20,45.0,19,51,37.25,55,68,80.88,16,0,11,0.0,7,0.0
James Singleton,12,7,8,87.5,5,5,100.0,2,3,66.67,1,2,50.0,5,0,3,0.0,4,0.0
James Thomas,1,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0.0
Jamil Wilson,2,1,3,33.33,0,0,0.0,1,3,33.33,0,0,0.0,1,0,0,0.0,1,0.0
Jamison Brewer,2,0,1,0.0,0,1,0.0,0,0,0.0,2,2,100.0,0,0,0,0.0,1,0.0
Jan Vesely,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Jannero Pargo,40,19,50,38.0,13,31,41.94,6,19,31.58,16,24,66.67,6,5,1,0.0,7,0.0
Jared Cunningham,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0,,1,0.0
Jared Dudley,86,23,85,27.06,8,25,32.0,15,60,25.0,36,41,87.8,20,2,14,0.0,10,0.0
Jared Jeffries,42,11,28,39.29,10,22,45.45,1,6,16.67,12,20,60.0,7,2,18,0.0,9,0.0
Jared Reiner,2,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0.0,2,0.0
Jared Sullinger,55,24,74,32.43,14,39,35.9,10,35,28.57,20,30,66.67,15,5,23,0.0,4,0.0
Jarell Martin,14,3,9,33.33,3,5,60.0,0,4,0.0,6,9,66.67,2,1,3,0.0,3,0.0
Jarnell Stokes,1,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,0,0,0,0.0,1,0.0
Jarrett Allen,7,0,3,0.0,0,3,0.0,0,0,0.0,9,10,90.0,0,2,3,0.0,1,0.0
Jarrett Jack,219,122,302,40.4,94,204,46.08,28,98,28.57,217,261,83.14,40,19,11,1.0,12,5.0
Jarron Collins,11,1,1,100.0,1,1,100.0,0,0,0.0,6,11,54.55,1,0,3,0.0,3,0.0
Jarvis Hayes,50,17,50,34.0,4,14,28.57,13,36,36.11,21,27,77.78,15,1,7,0.0,6,0.0
Jason Collins,29,5,9,55.56,5,9,55.56,0,0,0.0,14,31,45.16,3,2,12,0.0,5,0.0
Jason Hart,35,15,42,35.71,12,27,44.44,3,15,20.0,24,32,75.0,3,3,3,0.0,4,0.0
Jason Kapono,48,27,72,37.5,12,25,48.0,15,47,31.91,7,12,58.33,21,2,4,0.0,7,0.0
Jason Kidd,185,55,170,32.35,28,69,40.58,27,101,26.73,119,164,72.56,31,4,18,0.0,9,1.0
Jason Maxiell,46,13,27,48.15,13,27,48.15,0,0,0.0,21,34,61.76,6,2,23,0.0,10,0.0
Jason Richardson,167,110,287,38.33,60,149,40.27,50,138,36.23,97,141,68.79,64,9,28,0.0,10,3.0
Jason Smith,31,8,34,23.53,7,32,21.88,1,2,50.0,12,16,75.0,4,10,11,0.0,8,0.0
Jason Terry,240,152,373,40.75,107,219,48.86,45,154,29.22,188,226,83.19,72,19,17,1.0,14,5.0
Jason Thompson,69,23,58,39.66,23,57,40.35,0,1,0.0,18,34,52.94,12,4,32,0.0,8,1.0
Jason Williams,45,21,49,42.86,13,28,46.43,8,21,38.1,28,37,75.68,8,1,4,0.0,6,0.0
Javaris Crittenton,2,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Jawad Williams,3,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,0,0,3,0.0,2,0.0
Jawun Evans,1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0,,1,0.0
Jaylen Brown,15,9,17,52.94,4,8,50.0,5,9,55.56,3,7,42.86,6,2,3,0.0,2,1.0
Jayson Tatum,16,7,17,41.18,5,12,41.67,2,5,40.0,11,15,73.33,7,1,0,0.0,1,1.0
Jeff Adrien,6,3,5,60.0,3,5,60.0,0,0,0.0,2,2,100.0,3,0,1,0.0,2,0.0
Jeff Ayres,5,3,4,75.0,3,3,100.0,0,1,0.0,1,2,50.0,3,0,1,0.0,3,0.0
Jeff Foster,58,9,22,40.91,9,22,40.91,0,0,0.0,15,24,62.5,5,2,35,0.0,7,0.0
Jeff Green,181,96,232,41.38,65,137,47.45,31,95,32.63,99,118,83.9,53,19,34,1.0,10,4.0
Jeff McInnis,20,8,26,30.77,6,14,42.86,2,12,16.67,14,19,73.68,6,1,3,0.0,4,0.0
Jeff Taylor,9,2,4,50.0,1,1,100.0,1,3,33.33,1,2,50.0,2,0,0,0.0,2,0.0
Jeff Teague,134,80,181,44.2,69,140,49.29,11,41,26.83,132,157,84.08,16,21,7,1.0,8,5.0
Jeff Withey,9,3,7,42.86,3,7,42.86,0,0,0.0,1,2,50.0,2,3,2,0.0,4,0.0
Jerami Grant,28,5,13,38.46,4,9,44.44,1,4,25.0,9,20,45.0,3,1,5,0.0,4,0.0
Jeremy Evans,5,3,5,60.0,3,5,60.0,0,0,0.0,2,3,66.67,3,0,3,0.0,4,0.0
Jeremy Lamb,34,11,31,35.48,8,15,53.33,3,16,18.75,17,19,89.47,7,1,3,0.0,5,0.0
Jeremy Lin,74,53,110,48.18,35,74,47.3,18,36,50.0,78,92,84.78,20,11,6,1.0,6,4.0
Jeremy Pargo,3,3,10,30.0,1,5,20.0,2,5,40.0,3,3,100.0,1,2,0,0.0,2,0.0
Jeremy Richardson,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Jerian Grant,12,5,15,33.33,4,8,50.0,1,7,14.29,19,24,79.17,1,1,2,0.0,3,0.0
Jermaine Jackson,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jermaine O'Neal,117,56,148,37.84,55,145,37.93,1,3,33.33,53,77,68.83,31,16,35,0.0,10,2.0
Jermaine Taylor,3,5,5,100.0,5,5,100.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0.0
Jerome James,4,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,1,0,0,0.0,2,0.0
Jerome Moiso,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0,0.0,1,0.0
Jerome Williams,10,3,5,60.0,3,5,60.0,0,0,0.0,4,5,80.0,2,1,2,0.0,1,0.0
Jerry Stackhouse,60,20,52,38.46,13,32,40.62,7,20,35.0,56,68,82.35,10,6,7,0.0,8,0.0
Jerryd Bayless,84,29,89,32.58,22,67,32.84,7,22,31.82,90,115,78.26,12,7,6,0.0,10,0.0
Jim Jackson,17,9,31,29.03,8,16,50.0,1,15,6.67,2,2,100.0,6,1,2,0.0,2,0.0
Jimmer Fredette,15,4,14,28.57,3,6,50.0,1,8,12.5,16,17,94.12,2,0,1,0.0,4,0.0
Jimmy Butler,125,88,213,41.31,57,134,42.54,31,79,39.24,139,161,86.34,37,8,21,1.0,7,4.0
Jiri Welsch,6,1,6,16.67,0,4,0.0,1,2,50.0,6,8,75.0,1,1,1,0.0,2,0.0
Joakim Noah,121,41,95,43.16,41,94,43.62,0,1,0.0,47,76,61.84,23,8,72,1.0,10,1.0
Jodie Meeks,62,27,62,43.55,11,17,64.71,16,45,35.56,30,38,78.95,24,3,1,0.0,8,1.0
Joe Alexander,3,1,4,25.0,1,2,50.0,0,2,0.0,0,0,0.0,0,0,1,0.0,1,0.0
Joe Harris,16,5,18,27.78,3,6,50.0,2,12,16.67,4,6,66.67,4,3,5,0.0,3,0.0
Joe Ingles,37,13,33,39.39,2,5,40.0,11,28,39.29,8,13,61.54,11,1,4,0.0,4,1.0
Joe Johnson,309,237,604,39.24,164,398,41.21,73,206,35.44,221,267,82.77,80,30,23,0.0,14,5.0
Joe Smith,60,32,68,47.06,32,68,47.06,0,0,0.0,46,57,80.7,26,6,25,1.0,5,1.0
Joel Anthony,14,0,2,0.0,0,2,0.0,0,0,0.0,6,7,85.71,0,1,4,0.0,8,0.0
Joel Bolomboy,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Joel Embiid,25,17,42,40.48,14,32,43.75,3,10,30.0,36,38,94.74,12,7,8,0.0,2,1.0
Joel Freeland,3,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,1,0,1,0.0,1,0.0
Joel Przybilla,25,6,6,100.0,6,6,100.0,0,0,0.0,8,12,66.67,3,0,16,0.0,7,0.0
Joey Dorsey,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Joey Graham,15,3,15,20.0,2,13,15.38,1,2,50.0,4,8,50.0,3,4,4,0.0,5,0.0
Joffrey Lauvergne,6,0,2,0.0,0,1,0.0,0,1,0.0,1,2,50.0,0,0,4,0.0,2,0.0
Johan Petro,13,4,8,50.0,4,8,50.0,0,0,0.0,1,4,25.0,3,0,5,0.0,6,0.0
John Collins,10,3,5,60.0,2,2,100.0,1,3,33.33,3,4,75.0,3,1,1,0.0,1,0.0
John Henson,43,9,27,33.33,9,26,34.62,0,1,0.0,11,13,84.62,5,1,14,0.0,6,0.0
John Jenkins,5,0,6,0.0,0,3,0.0,0,3,0.0,5,6,83.33,0,0,2,0.0,3,0.0
John Lucas III,14,6,15,40.0,4,9,44.44,2,6,33.33,3,5,60.0,2,0,4,0.0,7,0.0
John Salmons,157,86,185,46.49,58,110,52.73,28,75,37.33,121,150,80.67,37,16,27,1.0,10,4.0
John Wall,193,154,398,38.69,129,301,42.86,25,97,25.77,236,307,76.87,22,21,12,0.0,8,3.0
Johnathan Motley,1,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,2,0,1,0.0,1,0.0
Johnny O'Bryant,1,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0.0
Jon Barry,7,1,8,12.5,0,1,0.0,1,7,14.29,8,11,72.73,1,0,0,0.0,2,0.0
Jon Brockman,7,0,1,0.0,0,1,0.0,0,0,0.0,1,2,50.0,0,0,4,0.0,2,0.0
Jon Leuer,18,6,18,33.33,5,11,45.45,1,7,14.29,7,9,77.78,4,3,4,0.0,4,0.0
Jonas Jerebko,37,12,31,38.71,11,22,50.0,1,9,11.11,10,13,76.92,6,2,12,0.0,7,0.0
Jonas Valanciunas,59,21,33,63.64,21,31,67.74,0,2,0.0,38,48,79.17,15,3,22,0.0,6,0.0
Jonathan Gibson,2,2,3,66.67,1,1,100.0,1,2,50.0,0,0,0.0,2,0,0,0.0,2,0.0
Jonathan Isaac,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jonathon Simmons,16,6,14,42.86,4,9,44.44,2,5,40.0,4,7,57.14,5,0,3,0.0,3,0.0
Jonny Flynn,20,11,34,32.35,10,27,37.04,1,7,14.29,14,18,77.78,1,2,1,0.0,3,0.0
Jordan Adams,1,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,0,0,0.0,1,0.0
Jordan Bell,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jordan Clarkson,48,37,74,50.0,26,49,53.06,11,25,44.0,41,46,89.13,15,3,10,1.0,4,2.0
Jordan Crawford,51,32,82,39.02,25,47,53.19,7,35,20.0,27,38,71.05,6,1,6,0.0,5,1.0
Jordan Farmar,42,29,67,43.28,14,31,45.16,15,36,41.67,22,27,81.48,11,1,6,1.0,9,0.0
Jordan Hamilton,6,2,7,28.57,2,5,40.0,0,2,0.0,1,1,100.0,1,1,2,0.0,4,0.0
Jordan Hill,43,27,52,51.92,27,50,54.0,0,2,0.0,17,21,80.95,17,2,22,0.0,7,1.0
Jordan McRae,1,3,5,60.0,2,4,50.0,1,1,100.0,1,3,33.33,0,2,0,0.0,1,0.0
Jorge Garbajosa,10,4,6,66.67,3,3,100.0,1,3,33.33,1,2,50.0,4,0,2,0.0,2,0.0
Jorge Gutierrez,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jose Calderon,138,64,148,43.24,41,76,53.95,23,72,31.94,70,81,86.42,22,8,8,1.0,12,4.0
Jose Juan Barea,69,39,102,38.24,28,63,44.44,11,39,28.21,26,37,70.27,9,7,6,0.0,9,1.0
Josh Boone,15,10,16,62.5,10,16,62.5,0,0,0.0,3,7,42.86,7,1,5,0.0,4,0.0
Josh Childress,57,26,44,59.09,23,34,67.65,3,10,30.0,26,34,76.47,16,6,25,0.0,5,1.0
Josh Davis,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,1,0,0,0.0,1,0.0
Josh Hart,11,2,8,25.0,1,3,33.33,1,5,20.0,6,13,46.15,2,1,4,0.0,1,0.0
Josh Howard,71,27,60,45.0,24,45,53.33,3,15,20.0,29,41,70.73,18,0,21,0.0,8,0.0
Josh Huestis,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Josh Jackson,5,2,5,40.0,2,3,66.67,0,2,0.0,1,1,100.0,1,0,0,0.0,1,0.0
Josh McRoberts,40,12,31,38.71,11,19,57.89,1,12,8.33,19,25,76.0,8,3,14,0.0,7,0.0
Josh Powell,5,3,6,50.0,3,6,50.0,0,0,0.0,2,2,100.0,3,0,3,0.0,3,0.0
Josh Richardson,38,14,32,43.75,9,17,52.94,5,15,33.33,22,24,91.67,8,1,6,0.0,3,1.0
Josh Smith,225,129,304,42.43,102,225,45.33,27,79,34.18,88,142,61.97,75,20,87,1.0,12,7.0
Jrue Holiday,150,87,224,38.84,64,151,42.38,23,73,31.51,86,116,74.14,18,18,15,0.0,9,4.0
Juan Carlos Navarro,15,6,14,42.86,2,5,40.0,4,9,44.44,14,19,73.68,5,0,1,0.0,1,1.0
Juan Dixon,52,25,70,35.71,19,41,46.34,6,29,20.69,35,37,94.59,12,1,0,0.0,5,1.0
Juan Hernangomez,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Julian Wright,4,1,1,100.0,1,1,100.0,0,0,0.0,0,2,0.0,0,0,0,0.0,3,0.0
Julius Randle,48,21,35,60.0,19,28,67.86,2,7,28.57,33,55,60.0,6,7,14,0.0,3,2.0
Julyan Stone,1,0,1,0.0,0,1,0.0,0,0,0.0,1,2,50.0,0,1,0,0.0,1,0.0
Jumaine Jones,30,6,30,20.0,3,12,25.0,3,18,16.67,11,18,61.11,3,1,6,0.0,2,0.0
Junior Harrington,2,6,9,66.67,4,7,57.14,2,2,100.0,0,0,0.0,2,0,0,0.0,2,0.0
Justin Anderson,4,2,3,66.67,2,2,100.0,0,1,0.0,1,4,25.0,2,0,0,0.0,3,0.0
Justin Hamilton,8,2,5,40.0,0,0,0.0,2,5,40.0,4,4,100.0,2,0,1,0.0,2,0.0
Justin Holiday,27,9,27,33.33,2,7,28.57,7,20,35.0,16,19,84.21,9,2,1,0.0,4,0.0
Justin Jackson,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Justin Reed,6,1,4,25.0,1,4,25.0,0,0,0.0,1,2,50.0,1,1,1,0.0,3,0.0
Justin Williams,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,2,0.0
Justise Winslow,31,11,28,39.29,10,22,45.45,1,6,16.67,11,18,61.11,5,2,6,0.0,3,0.0
Jusuf Nurkic,28,7,14,50.0,7,13,53.85,0,1,0.0,20,31,64.52,3,2,9,0.0,4,0.0
Juwan Howard,43,19,39,48.72,19,39,48.72,0,0,0.0,15,18,83.33,12,4,18,0.0,5,0.0
KJ McDaniels,5,3,9,33.33,2,6,33.33,1,3,33.33,0,0,0.0,1,0,1,0.0,1,0.0
Kareem Rush,16,12,25,48.0,8,14,57.14,4,11,36.36,0,2,0.0,9,0,1,0.0,4,0.0
Karl-Anthony Towns,80,45,103,43.69,35,65,53.85,10,38,26.32,29,36,80.56,33,6,27,1.0,3,2.0
Kasib Powell,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Kawhi Leonard,76,42,122,34.43,33,86,38.37,9,36,25.0,60,75,80.0,18,6,19,0.0,6,1.0
Keith Bogans,55,22,61,36.07,15,36,41.67,7,25,28.0,12,23,52.17,16,10,5,0.0,9,0.0
Keith McLeod,17,13,26,50.0,10,21,47.62,3,5,60.0,14,20,70.0,2,1,1,0.0,3,0.0
Keith Van Horn,14,7,11,63.64,4,5,80.0,3,6,50.0,11,13,84.62,6,1,5,0.0,2,0.0
Kelenna Azubuike,27,18,32,56.25,13,23,56.52,5,9,55.56,20,24,83.33,10,0,8,0.0,4,0.0
Kelly Olynyk,42,15,47,31.91,10,23,43.48,5,24,20.83,27,35,77.14,11,2,10,0.0,5,0.0
Kelly Oubre Jr.,18,4,14,28.57,2,6,33.33,2,8,25.0,5,7,71.43,2,2,6,0.0,2,0.0
Kelvin Cato,11,2,2,100.0,2,2,100.0,0,0,0.0,6,8,75.0,2,0,2,0.0,2,0.0
Kemba Walker,156,133,366,36.34,100,239,41.84,33,127,25.98,171,213,80.28,26,32,28,0.0,7,1.0
Kendall Gill,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,0,0,0.0,1,0.0
Kendall Marshall,9,1,6,16.67,0,1,0.0,1,5,20.0,0,2,0.0,1,1,0,0.0,4,0.0
Kendrick Perkins,73,12,32,37.5,12,32,37.5,0,0,0.0,15,33,45.45,6,4,26,0.0,12,0.0
Kenneth Faried,77,38,69,55.07,38,67,56.72,0,2,0.0,44,89,49.44,23,7,50,1.0,7,2.0
Kenny Thomas,30,16,27,59.26,16,27,59.26,0,0,0.0,20,25,80.0,10,0,8,0.0,4,1.0
Kent Bazemore,62,29,59,49.15,17,33,51.52,12,26,46.15,34,46,73.91,18,3,9,0.0,6,3.0
Kentavious Caldwell-Pope,83,48,129,37.21,15,29,51.72,33,100,33.0,24,42,57.14,34,4,7,0.0,5,2.0
Kenyon Martin,94,47,85,55.29,46,75,61.33,1,10,10.0,19,30,63.33,25,3,32,1.0,10,3.0
Kerry Kittles,4,4,6,66.67,3,5,60.0,1,1,100.0,1,2,50.0,3,0,0,0.0,1,0.0
Kevin Burleson,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Kevin Durant,257,222,589,37.69,153,383,39.95,69,206,33.5,294,344,85.47,103,14,16,0.0,11,2.0
Kevin Garnett,239,137,368,37.23,131,342,38.3,6,26,23.08,146,184,79.35,90,13,55,0.0,12,3.0
Kevin Jones,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Kevin Love,141,77,201,38.31,45,109,41.28,32,92,34.78,103,127,81.1,52,19,50,0.0,10,3.0
Kevin Martin,175,104,266,39.1,78,188,41.49,26,78,33.33,199,231,86.15,64,23,15,0.0,12,4.0
Kevin Ollie,6,0,5,0.0,0,4,0.0,0,1,0.0,7,8,87.5,0,1,1,0.0,4,0.0
Kevin Seraphin,19,10,24,41.67,10,24,41.67,0,0,0.0,2,2,100.0,8,0,5,0.0,7,0.0
Kevin Willis,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,1,0.0,1,0.0
Kevon Looney,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Keyon Dooling,68,28,81,34.57,20,47,42.55,8,34,23.53,34,42,80.95,12,7,5,0.0,8,1.0
Khem Birch,1,1,1,100.0,1,1,100.0,0,0,0.0,2,2,100.0,1,0,0,0.0,1,0.0
Khris Middleton,107,64,169,37.87,37,89,41.57,27,80,33.75,92,104,88.46,39,10,9,0.0,6,3.0
Kim English,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,,1,0.0
Kirk Hinrich,162,70,208,33.65,57,148,38.51,13,60,21.67,98,135,72.59,31,17,11,0.0,12,1.0
Kirk Snyder,15,6,17,35.29,5,13,38.46,1,4,25.0,6,9,66.67,5,2,1,0.0,4,0.0
Klay Thompson,114,53,157,33.76,24,61,39.34,29,96,30.21,48,54,88.89,43,7,4,0.0,7,2.0
Kobe Bryant,289,290,780,37.18,214,514,41.63,76,266,28.57,379,453,83.66,73,27,29,0.0,12,3.0
Kobi Simmons,2,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0.0,1,0,0,0.0,1,0.0
Kosta Koufos,19,10,14,71.43,10,14,71.43,0,0,0.0,2,6,33.33,6,0,9,0.0,6,0.0
Kostas Papanikolaou,2,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Kris Dunn,21,10,26,38.46,10,24,41.67,0,2,0.0,13,22,59.09,0,5,2,0.0,2,1.0
Kris Humphries,67,33,67,49.25,32,66,48.48,1,1,100.0,15,27,55.56,24,9,31,1.0,13,2.0
Kristaps Porzingis,44,28,64,43.75,20,41,48.78,8,23,34.78,33,41,80.49,19,1,12,1.0,3,1.0
Kurt Thomas,76,30,66,45.45,29,64,45.31,1,2,50.0,23,40,57.5,14,5,32,1.0,7,1.0
Kwame Brown,36,9,18,50.0,9,17,52.94,0,1,0.0,13,26,50.0,6,4,14,0.0,7,0.0
Kyle Anderson,14,3,6,50.0,2,4,50.0,1,2,50.0,9,12,75.0,1,1,4,0.0,4,0.0
Kyle Collinsworth,1,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,1,0.0,1,0.0
Kyle Korver,221,85,202,42.08,28,58,48.28,57,144,39.58,187,212,88.21,71,6,14,1.0,14,2.0
Kyle Kuzma,16,9,28,32.14,5,12,41.67,4,16,25.0,3,6,50.0,5,3,2,0.0,1,0.0
Kyle Lowry,236,132,388,34.02,83,226,36.73,49,162,30.25,200,262,76.34,40,40,39,0.0,12,1.0
Kyle O'Quinn,18,7,14,50.0,7,13,53.85,0,1,0.0,8,11,72.73,5,1,7,0.0,6,0.0
Kyle Singler,27,5,22,22.73,2,9,22.22,3,13,23.08,12,15,80.0,4,4,4,0.0,5,0.0
Kyle Weaver,2,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,1,0.0,1,0.0
Kyrie Irving,126,137,315,43.49,96,210,45.71,41,105,39.05,178,201,88.56,28,29,10,1.0,7,4.0
Kyrylo Fesenko,3,5,6,83.33,5,6,83.33,0,0,0.0,1,5,20.0,4,0,0,0.0,3,0.0
LaMarcus Aldridge,255,135,357,37.82,131,340,38.53,4,17,23.53,152,217,70.05,69,24,111,0.0,12,6.0
Lamar Odom,149,58,148,39.19,44,98,44.9,14,50,28.0,58,97,59.79,31,13,50,0.0,8,4.0
Lamar Patterson,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,,1,0.0
Lamond Murray,6,2,5,40.0,1,1,100.0,1,4,25.0,0,0,0.0,2,0,1,0.0,2,0.0
Lance Stephenson,55,28,68,41.18,18,38,47.37,10,30,33.33,17,23,73.91,15,5,15,1.0,6,0.0
Lance Thomas,28,9,22,40.91,7,18,38.89,2,4,50.0,14,15,93.33,6,2,7,0.0,6,0.0
Landry Fields,23,12,20,60.0,8,12,66.67,4,8,50.0,7,12,58.33,8,1,6,0.0,4,0.0
Langston Galloway,42,22,56,39.29,6,17,35.29,16,39,41.03,10,14,71.43,11,2,6,0.0,4,1.0
Laron Profit,3,2,3,66.67,1,1,100.0,1,2,50.0,2,2,100.0,1,0,1,0.0,2,0.0
Larry Hughes,95,40,91,43.96,32,65,49.23,8,26,30.77,85,110,77.27,19,10,10,1.0,7,2.0
Larry Nance Jr.,18,4,7,57.14,3,6,50.0,1,1,100.0,8,10,80.0,3,1,6,0.0,3,0.0
Larry Owens,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Larry Sanders,25,15,29,51.72,15,28,53.57,0,1,0.0,4,8,50.0,9,2,11,0.0,5,1.0
Latrell Sprewell,17,5,17,29.41,4,12,33.33,1,5,20.0,4,5,80.0,4,0,1,0.0,1,0.0
Lauri Markkanen,18,11,31,35.48,5,11,45.45,6,20,30.0,14,15,93.33,9,3,1,0.0,1,0.0
Lavoy Allen,26,7,15,46.67,7,15,46.67,0,0,0.0,3,4,75.0,6,1,3,0.0,6,0.0
Lawrence Roberts,5,3,5,60.0,3,5,60.0,0,0,0.0,4,4,100.0,2,0,3,0.0,2,0.0
LeBron James,358,338,770,43.9,260,496,52.42,78,274,28.47,453,615,73.66,80,44,52,1.0,14,11.0
Leandro Barbosa,90,46,127,36.22,24,61,39.34,22,66,33.33,24,31,77.42,33,11,5,0.0,13,0.0
Lee Nailon,16,10,27,37.04,10,27,37.04,0,0,0.0,6,6,100.0,7,7,1,0.0,1,0.0
Leon Powe,9,6,8,75.0,6,8,75.0,0,0,0.0,1,5,20.0,4,0,4,0.0,4,0.0
Lester Hudson,3,4,10,40.0,3,4,75.0,1,6,16.67,5,5,100.0,2,0,0,0.0,1,0.0
Linas Kleiza,40,25,55,45.45,15,25,60.0,10,30,33.33,23,24,95.83,19,3,4,0.0,7,1.0
Lindsey Hunter,12,7,13,53.85,3,6,50.0,4,7,57.14,0,0,0.0,4,0,4,0.0,4,0.0
